x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, sin(x) = 6.95333e-310, cos(x) = 1
x=6.95333e-310, six=1, sin(x) = 0.841471, cos(x) = 0.540302
x=2, sin(x) = 0.909297, cos(x) = -0.416147
x=3, sin(x) = 0.14112, cos(x) = -0.989992
x=4, sin(x) = -0.756802, cos(x) = -0.653644
x=0, sin(x) = 0, cos(x) = 1
x=0, sin(x) = 0, cos(x) = 1
x=1, sin(x) = 0.841471, cos(x) = 0.540302
x=2, sin(x) = 0.909297, cos(x) = -0.416147
x=3, sin(x) = 0.14112, cos(x) = -0.989992
x=4, sin(x) = -0.756802, cos(x) = -0.653644
x=10, sin(x) = -0.544021, cos(x) = -0.839072
x=10, sin(x) = -0.544021, cos(x) = -0.839072
